Barangay_No,Barangay,Month,Year,x,y,Dengue Cases
0,ABUNO,1,2018,8.1846,124.2571,0.0
0,ABUNO,1,2017,8.1846,124.2571,0.0
0,ABUNO,1,2016,8.1846,124.2571,0.0
0,ABUNO,2,2018,8.1846,124.2571,0.0
0,ABUNO,2,2017,8.1846,124.2571,0.0
0,ABUNO,2,2016,8.1846,124.2571,0.0
0,ABUNO,3,2018,8.1846,124.2571,0.0
0,ABUNO,3,2017,8.1846,124.2571,0.0
0,ABUNO,3,2016,8.1846,124.2571,0.0
0,ABUNO,4,2018,8.1846,124.2571,1.0
0,ABUNO,4,2017,8.1846,124.2571,0.0
0,ABUNO,4,2016,8.1846,124.2571,0.0
0,ABUNO,5,2018,8.1846,124.2571,0.0
0,ABUNO,5,2017,8.1846,124.2571,0.0
0,ABUNO,5,2016,8.1846,124.2571,0.0
0,ABUNO,6,2018,8.1846,124.2571,1.0
0,ABUNO,6,2017,8.1846,124.2571,0.0
0,ABUNO,6,2016,8.1846,124.2571,0.0
0,ABUNO,7,2018,8.1846,124.2571,1.0
0,ABUNO,7,2017,8.1846,124.2571,0.0
0,ABUNO,7,2016,8.1846,124.2571,0.0
0,ABUNO,8,2018,8.1846,124.2571,0.0
0,ABUNO,8,2017,8.1846,124.2571,0.0
0,ABUNO,8,2016,8.1846,124.2571,0.0
0,ABUNO,9,2018,8.1846,124.2571,0.0
0,ABUNO,9,2017,8.1846,124.2571,0.0
0,ABUNO,9,2016,8.1846,124.2571,0.0
0,ABUNO,10,2018,8.1846,124.2571,1.0
0,ABUNO,10,2017,8.1846,124.2571,0.0
0,ABUNO,10,2016,8.1846,124.2571,0.0
0,ABUNO,11,2018,8.1846,124.2571,3.0
0,ABUNO,11,2017,8.1846,124.2571,0.0
0,ABUNO,11,2016,8.1846,124.2571,0.0
0,ABUNO,12,2018,8.1846,124.2571,1.0
0,ABUNO,12,2017,8.1846,124.2571,0.0
0,ABUNO,12,2016,8.1846,124.2571,0.0
1,ACMAC,1,2018,8.274,124.2649,0.0
1,ACMAC,1,2017,8.274,124.2649,0.0
1,ACMAC,1,2016,8.274,124.2649,0.0
1,ACMAC,2,2018,8.274,124.2649,0.0
1,ACMAC,2,2017,8.274,124.2649,0.0
1,ACMAC,2,2016,8.274,124.2649,0.0
1,ACMAC,3,2018,8.274,124.2649,2.0
1,ACMAC,3,2017,8.274,124.2649,0.0
1,ACMAC,3,2016,8.274,124.2649,0.0
1,ACMAC,4,2018,8.274,124.2649,0.0
1,ACMAC,4,2017,8.274,124.2649,0.0
1,ACMAC,4,2016,8.274,124.2649,0.0
1,ACMAC,5,2018,8.274,124.2649,0.0
1,ACMAC,5,2017,8.274,124.2649,0.0
1,ACMAC,5,2016,8.274,124.2649,0.0
1,ACMAC,6,2018,8.274,124.2649,0.0
1,ACMAC,6,2017,8.274,124.2649,0.0
1,ACMAC,6,2016,8.274,124.2649,0.0
1,ACMAC,7,2018,8.274,124.2649,1.0
1,ACMAC,7,2017,8.274,124.2649,0.0
1,ACMAC,7,2016,8.274,124.2649,0.0
1,ACMAC,8,2018,8.274,124.2649,1.0
1,ACMAC,8,2017,8.274,124.2649,0.0
1,ACMAC,8,2016,8.274,124.2649,0.0
1,ACMAC,9,2018,8.274,124.2649,3.0
1,ACMAC,9,2017,8.274,124.2649,0.0
1,ACMAC,9,2016,8.274,124.2649,0.0
1,ACMAC,10,2018,8.274,124.2649,6.0
1,ACMAC,10,2017,8.274,124.2649,0.0
1,ACMAC,10,2016,8.274,124.2649,0.0
1,ACMAC,11,2018,8.274,124.2649,6.0
1,ACMAC,11,2017,8.274,124.2649,0.0
1,ACMAC,11,2016,8.274,124.2649,0.0
1,ACMAC,12,2018,8.274,124.2649,5.0
1,ACMAC,12,2017,8.274,124.2649,0.0
1,ACMAC,12,2016,8.274,124.2649,0.0
2,BAGONG SILANG,1,2018,8.2418,124.252,2.0
2,BAGONG SILANG,1,2017,8.2418,124.252,0.0
2,BAGONG SILANG,1,2016,8.2418,124.252,0.0
2,BAGONG SILANG,2,2018,8.2418,124.252,0.0
2,BAGONG SILANG,2,2017,8.2418,124.252,0.0
2,BAGONG SILANG,2,2016,8.2418,124.252,0.0
2,BAGONG SILANG,3,2018,8.2418,124.252,0.0
2,BAGONG SILANG,3,2017,8.2418,124.252,0.0
2,BAGONG SILANG,3,2016,8.2418,124.252,0.0
2,BAGONG SILANG,4,2018,8.2418,124.252,0.0
2,BAGONG SILANG,4,2017,8.2418,124.252,0.0
2,BAGONG SILANG,4,2016,8.2418,124.252,0.0
2,BAGONG SILANG,5,2018,8.2418,124.252,0.0
2,BAGONG SILANG,5,2017,8.2418,124.252,0.0
2,BAGONG SILANG,5,2016,8.2418,124.252,0.0
2,BAGONG SILANG,6,2018,8.2418,124.252,1.0
2,BAGONG SILANG,6,2017,8.2418,124.252,0.0
2,BAGONG SILANG,6,2016,8.2418,124.252,0.0
2,BAGONG SILANG,7,2018,8.2418,124.252,3.0
2,BAGONG SILANG,7,2017,8.2418,124.252,0.0
2,BAGONG SILANG,7,2016,8.2418,124.252,0.0
2,BAGONG SILANG,8,2018,8.2418,124.252,0.0
2,BAGONG SILANG,8,2017,8.2418,124.252,0.0
2,BAGONG SILANG,8,2016,8.2418,124.252,0.0
2,BAGONG SILANG,9,2018,8.2418,124.252,3.0
2,BAGONG SILANG,9,2017,8.2418,124.252,0.0
2,BAGONG SILANG,9,2016,8.2418,124.252,0.0
2,BAGONG SILANG,10,2018,8.2418,124.252,5.0
2,BAGONG SILANG,10,2017,8.2418,124.252,0.0
2,BAGONG SILANG,10,2016,8.2418,124.252,0.0
2,BAGONG SILANG,11,2018,8.2418,124.252,3.0
2,BAGONG SILANG,11,2017,8.2418,124.252,0.0
2,BAGONG SILANG,11,2016,8.2418,124.252,0.0
2,BAGONG SILANG,12,2018,8.2418,124.252,4.0
2,BAGONG SILANG,12,2017,8.2418,124.252,0.0
2,BAGONG SILANG,12,2016,8.2418,124.252,0.0
3,BONBONON,1,2018,8.2667,124.2902,0.0
3,BONBONON,1,2017,8.2667,124.2902,0.0
3,BONBONON,1,2016,8.2667,124.2902,0.0
3,BONBONON,2,2018,8.2667,124.2902,0.0
3,BONBONON,2,2017,8.2667,124.2902,0.0
3,BONBONON,2,2016,8.2667,124.2902,0.0
3,BONBONON,3,2018,8.2667,124.2902,1.0
3,BONBONON,3,2017,8.2667,124.2902,0.0
3,BONBONON,3,2016,8.2667,124.2902,0.0
3,BONBONON,4,2018,8.2667,124.2902,0.0
3,BONBONON,4,2017,8.2667,124.2902,0.0
3,BONBONON,4,2016,8.2667,124.2902,0.0
3,BONBONON,5,2018,8.2667,124.2902,0.0
3,BONBONON,5,2017,8.2667,124.2902,0.0
3,BONBONON,5,2016,8.2667,124.2902,0.0
3,BONBONON,6,2018,8.2667,124.2902,0.0
3,BONBONON,6,2017,8.2667,124.2902,0.0
3,BONBONON,6,2016,8.2667,124.2902,0.0
3,BONBONON,7,2018,8.2667,124.2902,1.0
3,BONBONON,7,2017,8.2667,124.2902,0.0
3,BONBONON,7,2016,8.2667,124.2902,0.0
3,BONBONON,8,2018,8.2667,124.2902,0.0
3,BONBONON,8,2017,8.2667,124.2902,0.0
3,BONBONON,8,2016,8.2667,124.2902,0.0
3,BONBONON,9,2018,8.2667,124.2902,2.0
3,BONBONON,9,2017,8.2667,124.2902,0.0
3,BONBONON,9,2016,8.2667,124.2902,0.0
3,BONBONON,10,2018,8.2667,124.2902,1.0
3,BONBONON,10,2017,8.2667,124.2902,0.0
3,BONBONON,10,2016,8.2667,124.2902,0.0
3,BONBONON,11,2018,8.2667,124.2902,2.0
3,BONBONON,11,2017,8.2667,124.2902,0.0
3,BONBONON,11,2016,8.2667,124.2902,0.0
3,BONBONON,12,2018,8.2667,124.2902,0.0
3,BONBONON,12,2017,8.2667,124.2902,0.0
3,BONBONON,12,2016,8.2667,124.2902,0.0
4,BUNAWAN,1,2018,8.3023,124.3028,0.0
4,BUNAWAN,1,2017,8.3023,124.3028,0.0
4,BUNAWAN,1,2016,8.3023,124.3028,0.0
4,BUNAWAN,2,2018,8.3023,124.3028,0.0
4,BUNAWAN,2,2017,8.3023,124.3028,0.0
4,BUNAWAN,2,2016,8.3023,124.3028,0.0
