Barangay,Month,Year,Dengue Cases
ABUNO,2,2017,1
ABUNO,11,2018,1
ABUNO,11,2018,1
ABUNO,1,2019,1
ABUNO,1,2019,1
ABUNO,6,2019,1
ABUNO,7,2019,1
ABUNO,8,2019,1
ABUNO,11,2019,1
ABUNO,11,2019,1
ABUNO,1,2020,1
ABUNO,1,2020,1
ABUNO,4,2020,1
ABUNO,4,2020,1
ABUNO,6,2020,1
ABUNO,7,2020,1
ABUNO,7,2020,1
ABUNO,7,2020,1
ABUNO,7,2020,1
ABUNO,8,2020,1
ACMA,1,2019,1
ACMAC,3,2018,1
ACMAC,10,2018,1
ACMAC,12,2018,1
ACMAC,1,2019,1
ACMAC,1,2019,1
ACMAC,1,2019,1
ACMAC,1,2019,1
ACMAC,1,2019,1
ACMAC,2,2019,1
ACMAC,2,2019,1
ACMAC,5,2019,1
ACMAC,7,2019,1
ACMAC,7,2019,1
ACMAC,7,2019,1
ACMAC,7,2019,1
ACMAC,7,2019,1
ACMAC,8,2019,1
ACMAC,8,2019,1
ACMAC,8,2019,1
ACMAC,10,2019,1
ACMAC,10,2019,1
ACMAC,10,2019,1
ACMAC,11,2019,1
ACMAC,1,2020,1
ACMAC,1,2020,1
ACMAC,1,2020,1
ACMAC,1,2020,1
ACMAC,2,2020,1
ACMAC,3,2020,1
ACMAC,3,2020,1
ACMAC,3,2020,1
ACMAC,3,2020,1
ACMAC,4,2020,1
ACMAC,8,2020,1
BAGONG SILANG,1,2017,1
BAGONG SILANG,2,2017,1
BAGONG SILANG,3,2017,1
BAGONG SILANG,4,2017,1
BAGONG SILANG,5,2017,1
BAGONG SILANG,7,2017,1
BAGONG SILANG,12,2018,1
BAGONG SILANG,12,2018,1
BAGONG SILANG,1,2019,1
BAGONG SILANG,1,2019,1
BAGONG SILANG,1,2019,1
BAGONG SILANG,2,2019,1
BAGONG SILANG,2,2019,1
BAGONG SILANG,2,2019,1
BAGONG SILANG,3,2019,1
BAGONG SILANG,3,2019,1
BAGONG SILANG,3,2019,1
BAGONG SILANG,3,2019,1
BAGONG SILANG,7,2019,1
BAGONG SILANG,7,2019,1
BAGONG SILANG,7,2019,1
BAGONG SILANG,7,2019,1
BAGONG SILANG,7,2019,1
BAGONG SILANG,8,2019,1
BAGONG SILANG,8,2019,1
BAGONG SILANG,8,2019,1
BAGONG SILANG,8,2019,1
BAGONG SILANG,8,2019,1
BAGONG SILANG,8,2019,1
BAGONG SILANG,9,2019,1
BAGONG SILANG,9,2019,1
BAGONG SILANG,9,2019,1
BAGONG SILANG,9,2019,1
BAGONG SILANG,9,2019,1
BAGONG SILANG,10,2019,1
BAGONG SILANG,10,2019,1
BAGONG SILANG,10,2019,1
BAGONG SILANG,11,2019,1
BAGONG SILANG,11,2019,1
BAGONG SILANG,1,2020,1
BAGONG SILANG,1,2020,1
BAGONG SILANG,3,2020,1
BAGONG SILANG,11,2020,1
BONBONON,1,2019,1
BONBONON,1,2019,1
BONBONON,1,2019,1
BONBONON,7,2019,1
BONBONON,10,2019,1
BONBONON,1,2020,1
BURU-UN,4,2017,1
BURU-UN,8,2018,1
BURU-UN,11,2018,1
BURU-UN,12,2018,1
BURU-UN,12,2018,1
BURU-UN,2,2019,1
BURU-UN,4,2019,1
BURU-UN,4,2019,1
BURU-UN,7,2019,1
BURU-UN,7,2019,1
BURU-UN,7,2019,1
BURU-UN,7,2019,1
BURU-UN,7,2019,1
BURU-UN,7,2019,1
BURU-UN,7,2019,1
BURU-UN,8,2019,1
BURU-UN,8,2019,1
BURU-UN,8,2019,1
BURU-UN,8,2019,1
BURU-UN,8,2019,1
BURU-UN,8,2019,1
BURU-UN,8,2019,1
BURU-UN,8,2019,1
BURU-UN,8,2019,1
BURU-UN,9,2019,1
BURU-UN,9,2019,1
BURU-UN,9,2019,1
BURU-UN,9,2019,1
BURU-UN,10,2019,1
BURU-UN,11,2019,1
BURU-UN,11,2019,1
BURU-UN,12,2019,1
BURU-UN,1,2020,1
BURU-UN,1,2020,1
BURU-UN,1,2020,1
BURU-UN,1,2020,0
BURU-UN,3,2020,1
BURU-UN,3,2020,0
BURU-UN,7,2020,1
BURU-UN,11,2020,1
DALIPUGA,6,2017,1
DALIPUGA,10,2018,1
DALIPUGA,11,2018,1
DALIPUGA,12,2018,1
DALIPUGA,12,2018,1
DALIPUGA,12,2018,1
DALIPUGA,1,2019,1
DALIPUGA,1,2019,1
DALIPUGA,1,2019,0
DALIPUGA,1,2019,1
DALIPUGA,1,2019,1
DALIPUGA,2,2019,1
DALIPUGA,2,2019,1
DALIPUGA,2,2019,1
DALIPUGA,4,2019,1
DALIPUGA,6,2019,1
DALIPUGA,6,2019,1
DALIPUGA,6,2019,1
DALIPUGA,6,2019,1
DALIPUGA,7,2019,1
DALIPUGA,7,2019,1
DALIPUGA,7,2019,0
