Barangay,Month,Year,Dengue Cases
ABUNO,4,2018,1
ABUNO,6,2018,1
ABUNO,7,2018,1
ABUNO,10,2018,1
ABUNO,11,2018,3
ABUNO,12,2018,1
ACMAC,3,2018,2
ACMAC,7,2018,1
ACMAC,8,2018,1
ACMAC,9,2018,3
ACMAC,10,2018,6
ACMAC,11,2018,6
ACMAC,12,2018,5
BAGONG SILANG,1,2018,2
BAGONG SILANG,6,2018,1
BAGONG SILANG,7,2018,3
BAGONG SILANG,9,2018,3
BAGONG SILANG,10,2018,5
BAGONG SILANG,11,2018,3
BAGONG SILANG,12,2018,4
BONBONON,3,2018,1
BONBONON,7,2018,1
BONBONON,9,2018,2
BONBONON,10,2018,1
BONBONON,11,2018,2
BURU-UN,1,2018,1
BURU-UN,2,2018,2
BURU-UN,3,2018,2
BURU-UN,5,2018,2
BURU-UN,7,2018,1
BURU-UN,8,2018,3
BURU-UN,9,2018,1
BURU-UN,10,2018,8
BURU-UN,11,2018,15
BURU-UN,12,2018,10
DALIPUGA,3,2018,1
DALIPUGA,6,2018,1
DALIPUGA,7,2018,3
DALIPUGA,8,2018,3
DALIPUGA,9,2018,3
DALIPUGA,10,2018,9
DALIPUGA,11,2018,16
DALIPUGA,12,2018,13
DEL CARMEN,3,2018,1
DEL CARMEN,6,2018,2
DEL CARMEN,8,2018,1
DEL CARMEN,9,2018,2
DEL CARMEN,11,2018,3
DEL CARMEN,12,2018,6
DIGKILAAN,6,2018,1
DIGKILAAN,8,2018,1
DIGKILAAN,9,2018,1
DIGKILAAN,10,2018,0
DIGKILAAN,11,2018,1
DITUCALAN,9,2018,1
DITUCALAN,11,2018,1
DITUCALAN,12,2018,3
HINAPLANON,1,2018,3
HINAPLANON,2,2018,2
HINAPLANON,3,2018,3
HINAPLANON,4,2018,1
HINAPLANON,6,2018,2
HINAPLANON,7,2018,1
HINAPLANON,8,2018,3
HINAPLANON,9,2018,7
HINAPLANON,10,2018,14
HINAPLANON,11,2018,11
HINAPLANON,12,2018,13
HINDANG,3,2018,1
KIWALAN,7,2017,1
KIWALAN,2,2018,1
KIWALAN,5,2018,2
KIWALAN,6,2018,5
KIWALAN,7,2018,3
KIWALAN,8,2018,3
KIWALAN,9,2018,5
KIWALAN,11,2018,4
KIWALAN,12,2018,3
LUINAB,7,2017,1
LUINAB,12,2017,2
LUINAB,5,2018,2
LUINAB,6,2018,2
LUINAB,7,2018,8
LUINAB,8,2018,5
LUINAB,9,2018,3
LUINAB,10,2018,5
LUINAB,11,2018,8
LUINAB,12,2018,5
