Barangay_No,Barangay,Month,Year,x,y,Dengue Cases
0,ABUNO,1,2017,8.1846,124.2571,0
0,ABUNO,1,2018,8.1846,124.2571,0
0,ABUNO,1,2019,8.1846,124.2571,3
0,ABUNO,1,2020,8.1846,124.2571,2
0,ABUNO,1,2021,8.1846,124.2571,0
0,ABUNO,1,2016,8.1846,124.2571,0
0,ABUNO,1,2015,8.1846,124.2571,0
0,ABUNO,1,2014,8.1846,124.2571,0
0,ABUNO,2,2017,8.1846,124.2571,1
0,ABUNO,2,2018,8.1846,124.2571,0
0,ABUNO,2,2019,8.1846,124.2571,0
0,ABUNO,2,2020,8.1846,124.2571,0
0,ABUNO,2,2021,8.1846,124.2571,0
0,ABUNO,2,2016,8.1846,124.2571,0
0,ABUNO,2,2015,8.1846,124.2571,0
0,ABUNO,2,2014,8.1846,124.2571,0
0,ABUNO,3,2017,8.1846,124.2571,0
0,ABUNO,3,2018,8.1846,124.2571,0
0,ABUNO,3,2019,8.1846,124.2571,2
0,ABUNO,3,2020,8.1846,124.2571,0
0,ABUNO,3,2021,8.1846,124.2571,0
0,ABUNO,3,2016,8.1846,124.2571,0
0,ABUNO,3,2015,8.1846,124.2571,0
0,ABUNO,3,2014,8.1846,124.2571,0
0,ABUNO,4,2017,8.1846,124.2571,0
0,ABUNO,4,2018,8.1846,124.2571,0
0,ABUNO,4,2019,8.1846,124.2571,0
0,ABUNO,4,2020,8.1846,124.2571,2
0,ABUNO,4,2021,8.1846,124.2571,0
0,ABUNO,4,2016,8.1846,124.2571,0
0,ABUNO,4,2015,8.1846,124.2571,0
0,ABUNO,4,2014,8.1846,124.2571,0
0,ABUNO,5,2017,8.1846,124.2571,0
0,ABUNO,5,2018,8.1846,124.2571,0
0,ABUNO,5,2019,8.1846,124.2571,0
0,ABUNO,5,2020,8.1846,124.2571,0
0,ABUNO,5,2021,8.1846,124.2571,0
0,ABUNO,5,2016,8.1846,124.2571,0
0,ABUNO,5,2015,8.1846,124.2571,0
0,ABUNO,5,2014,8.1846,124.2571,0
0,ABUNO,6,2017,8.1846,124.2571,0
0,ABUNO,6,2018,8.1846,124.2571,0
0,ABUNO,6,2019,8.1846,124.2571,1
0,ABUNO,6,2020,8.1846,124.2571,1
0,ABUNO,6,2021,8.1846,124.2571,0
0,ABUNO,6,2016,8.1846,124.2571,0
0,ABUNO,6,2015,8.1846,124.2571,0
0,ABUNO,6,2014,8.1846,124.2571,0
0,ABUNO,7,2017,8.1846,124.2571,0
0,ABUNO,7,2018,8.1846,124.2571,1
0,ABUNO,7,2019,8.1846,124.2571,4
0,ABUNO,7,2020,8.1846,124.2571,4
0,ABUNO,7,2021,8.1846,124.2571,0
0,ABUNO,7,2016,8.1846,124.2571,0
0,ABUNO,7,2015,8.1846,124.2571,0
0,ABUNO,7,2014,8.1846,124.2571,0
0,ABUNO,8,2017,8.1846,124.2571,0
0,ABUNO,8,2018,8.1846,124.2571,0
