Barangay_No,Barangay,x,y,Year,Month,Dengue Cases
0,ABUNO,8.1846,124.2571,2011,1,0
0,ABUNO,8.1846,124.2571,2012,1,0
0,ABUNO,8.1846,124.2571,2013,1,2
0,ABUNO,8.1846,124.2571,2014,1,0
0,ABUNO,8.1846,124.2571,2015,1,3
0,ABUNO,8.1846,124.2571,2016,1,3
0,ABUNO,8.1846,124.2571,2017,1,0
0,ABUNO,8.1846,124.2571,2018,1,0
0,ABUNO,8.1846,124.2571,2019,1,8
0,ABUNO,8.1846,124.2571,2020,1,4
0,ABUNO,8.1846,124.2571,2021,1,0
0,ABUNO,8.1846,124.2571,2022,1,1
0,ABUNO,8.1846,124.2571,2011,2,0
0,ABUNO,8.1846,124.2571,2012,2,0
0,ABUNO,8.1846,124.2571,2013,2,0
0,ABUNO,8.1846,124.2571,2014,2,1
0,ABUNO,8.1846,124.2571,2015,2,3
0,ABUNO,8.1846,124.2571,2016,2,1
0,ABUNO,8.1846,124.2571,2017,2,2
0,ABUNO,8.1846,124.2571,2018,2,0
0,ABUNO,8.1846,124.2571,2019,2,0
0,ABUNO,8.1846,124.2571,2020,2,0
0,ABUNO,8.1846,124.2571,2021,2,0
0,ABUNO,8.1846,124.2571,2022,2,2
0,ABUNO,8.1846,124.2571,2011,3,1
0,ABUNO,8.1846,124.2571,2012,3,0
0,ABUNO,8.1846,124.2571,2013,3,0
0,ABUNO,8.1846,124.2571,2014,3,0
0,ABUNO,8.1846,124.2571,2015,3,0
0,ABUNO,8.1846,124.2571,2016,3,2
0,ABUNO,8.1846,124.2571,2017,3,1
0,ABUNO,8.1846,124.2571,2018,3,0
0,ABUNO,8.1846,124.2571,2019,3,4
0,ABUNO,8.1846,124.2571,2020,3,0
0,ABUNO,8.1846,124.2571,2021,3,0
0,ABUNO,8.1846,124.2571,2022,3,0
0,ABUNO,8.1846,124.2571,2011,4,0
0,ABUNO,8.1846,124.2571,2012,4,1
0,ABUNO,8.1846,124.2571,2013,4,0
0,ABUNO,8.1846,124.2571,2014,4,0
0,ABUNO,8.1846,124.2571,2015,4,0
0,ABUNO,8.1846,124.2571,2016,4,0
0,ABUNO,8.1846,124.2571,2017,4,0
0,ABUNO,8.1846,124.2571,2018,4,1
0,ABUNO,8.1846,124.2571,2019,4,0
0,ABUNO,8.1846,124.2571,2020,4,4
0,ABUNO,8.1846,124.2571,2021,4,0
0,ABUNO,8.1846,124.2571,2022,4,0
0,ABUNO,8.1846,124.2571,2011,5,0
0,ABUNO,8.1846,124.2571,2012,5,1
0,ABUNO,8.1846,124.2571,2013,5,0
0,ABUNO,8.1846,124.2571,2014,5,0
0,ABUNO,8.1846,124.2571,2015,5,0
0,ABUNO,8.1846,124.2571,2016,5,0
0,ABUNO,8.1846,124.2571,2017,5,0
0,ABUNO,8.1846,124.2571,2018,5,0
0,ABUNO,8.1846,124.2571,2019,5,0
